hugo_symbol	ensembl_gene_id	canonical_transcript
ADH1B	ENSG00000196616	ENST00000305046
ADH1C	ENSG00000248144	ENST00000515683
ADH4	ENSG00000198099	ENST00000508393
ADH5	ENSG00000197894	ENST00000296412
ADH6	ENSG00000172955	ENST00000394899
ADH7	ENSG00000196344	ENST00000476959
ADHFE1	ENSG00000147576	ENST00000396623
ADI1	ENSG00000182551	ENST00000327435
ADIG	ENSG00000182035	ENST00000537425
ADIPOQ	ENSG00000181092	ENST00000444204
ADIPOR1	ENSG00000159346	ENST00000340990
ADIPOR2	ENSG00000006831	ENST00000357103
ADIRF	ENSG00000148671	ENST00000372013
ADK	ENSG00000156110	ENST00000286621
ADM	ENSG00000148926	ENST00000528655
ADM2	ENSG00000128165	ENST00000395738
ADM5	ENSG00000224420	ENST00000420022
ADNP	ENSG00000101126	ENST00000396029
ADNP2	ENSG00000101544	ENST00000262198
ADO	ENSG00000181915	ENST00000373783
ADORA1	ENSG00000163485	ENST00000367236
ADORA2B	ENSG00000170425	ENST00000304222
ADPGK	ENSG00000159322	ENST00000311669
ADPRH	ENSG00000144843	ENST00000478399
ADPRHL1	ENSG00000153531	ENST00000375418
ADPRHL2	ENSG00000116863	ENST00000373178
ADPRM	ENSG00000170222	ENST00000379774
ADRA1A	ENSG00000120907	ENST00000380586
ADRA1B	ENSG00000170214	ENST00000306675
ADRA1D	ENSG00000171873	ENST00000379453
ADRA2A	ENSG00000150594	ENST00000280155
ADRA2C	ENSG00000184160	ENST00000330055
ADRB1	ENSG00000043591	ENST00000369295
ADRB2	ENSG00000169252	ENST00000305988
ADRB3	ENSG00000188778	ENST00000345060
ADRBK1	ENSG00000173020	ENST00000308595
ADRBK2	ENSG00000100077	ENST00000324198
ADRM1	ENSG00000130706	ENST00000491935
ADSS	ENSG00000035687	ENST00000366535
ADSSL1	ENSG00000185100	ENST00000332972
ADTRP	ENSG00000111863	ENST00000229583
AEBP1	ENSG00000106624	ENST00000223357
AEBP2	ENSG00000139154	ENST00000398864
AEN	ENSG00000181026	ENST00000332810
AES	ENSG00000104964	ENST00000221561
AFAP1	ENSG00000196526	ENST00000420658
AFAP1L1	ENSG00000157510	ENST00000296721
AFAP1L2	ENSG00000169129	ENST00000304129
AFF1	ENSG00000172493	ENST00000395146
AFF2	ENSG00000155966	ENST00000370460
AFF3	ENSG00000144218	ENST00000409579
AFF4	ENSG00000072364	ENST00000265343
AFG3L2	ENSG00000141385	ENST00000269143
AFM	ENSG00000079557	ENST00000226355
AFMID	ENSG00000183077	ENST00000327898
AFP	ENSG00000081051	ENST00000395792
AFTPH	ENSG00000119844	ENST00000238855
AGA	ENSG00000038002	ENST00000264595
AGAP1	ENSG00000157985	ENST00000304032
AGAP2	ENSG00000135439	ENST00000547588
AGAP3	ENSG00000133612	ENST00000397238
AGAP4	ENSG00000188234	ENST00000448048
AGAP5	ENSG00000172650	ENST00000374094
AGAP6	ENSG00000204149	ENST00000412531
AGAP9	ENSG00000204172	ENST00000452145
AGBL1	ENSG00000166748	ENST00000441037
AGBL2	ENSG00000165923	ENST00000525123
AGBL3	ENSG00000146856	ENST00000436302
AGBL4	ENSG00000186094	ENST00000371839
AGBL5	ENSG00000084693	ENST00000360131
AGER	ENSG00000204305	ENST00000375069
AGFG1	ENSG00000173744	ENST00000409979
AGFG2	ENSG00000106351	ENST00000300176
AGGF1	ENSG00000164252	ENST00000312916
AGK	ENSG00000006530	ENST00000355413
AGL	ENSG00000162688	ENST00000294724
AGMAT	ENSG00000116771	ENST00000375826
AGMO	ENSG00000187546	ENST00000342526
AGO1	ENSG00000092847	ENST00000373204
AGO2	ENSG00000123908	ENST00000220592
AGO3	ENSG00000126070	ENST00000373191
AGO4	ENSG00000134698	ENST00000373210
AGPAT1	ENSG00000204310	ENST00000395499
AGPAT2	ENSG00000169692	ENST00000371696
AGPAT3	ENSG00000160216	ENST00000398063
AGPAT4	ENSG00000026652	ENST00000320285
AGPAT5	ENSG00000155189	ENST00000285518
AGPAT6	ENSG00000158669	ENST00000396987
AGPS	ENSG00000018510	ENST00000264167
AGR2	ENSG00000106541	ENST00000419304
AGR3	ENSG00000173467	ENST00000310398
AGRN	ENSG00000188157	ENST00000379370
AGRP	ENSG00000159723	ENST00000290953
AGT	ENSG00000135744	ENST00000366667
AGTPBP1	ENSG00000135049	ENST00000337006
AGTR1	ENSG00000144891	ENST00000497524
AGTR2	ENSG00000180772	ENST00000371906
AGTRAP	ENSG00000177674	ENST00000314340
AGXT	ENSG00000172482	ENST00000307503
AGXT2	ENSG00000113492	ENST00000231420
AHCTF1	ENSG00000153207	ENST00000326225
AHCY	ENSG00000101444	ENST00000217426
AHCYL1	ENSG00000168710	ENST00000369799
AHCYL2	ENSG00000158467	ENST00000325006
AHDC1	ENSG00000126705	ENST00000374011
AHI1	ENSG00000135541	ENST00000367800
AHNAK	ENSG00000124942	ENST00000378024
AHNAK2	ENSG00000185567	ENST00000333244
AHR	ENSG00000106546	ENST00000242057
AHRR	ENSG00000063438	ENST00000316418
AHSA1	ENSG00000100591	ENST00000216479
AHSA2	ENSG00000173209	ENST00000394457
AHSG	ENSG00000145192	ENST00000411641
AHSP	ENSG00000169877	ENST00000302312
AICDA	ENSG00000111732	ENST00000229335
AIDA	ENSG00000186063	ENST00000340020
AIF1	ENSG00000204472	ENST00000376059
AIF1L	ENSG00000126878	ENST00000372309
AIFM1	ENSG00000156709	ENST00000287295
AIFM3	ENSG00000183773	ENST00000399167
AIG1	ENSG00000146416	ENST00000357847
AIM1	ENSG00000112297	ENST00000369066
AIM1L	ENSG00000176092	ENST00000308182
AIM2	ENSG00000163568	ENST00000368130
AIMP1	ENSG00000164022	ENST00000394701
AIMP2	ENSG00000106305	ENST00000223029
AIP	ENSG00000110711	ENST00000279146
AIPL1	ENSG00000129221	ENST00000381129
AIRE	ENSG00000160224	ENST00000291582
AJAP1	ENSG00000196581	ENST00000378191
AJUBA	ENSG00000129474	ENST00000262713
AK1	ENSG00000106992	ENST00000373176
AK2	ENSG00000004455	ENST00000354858
AK3	ENSG00000147853	ENST00000381809
AK4	ENSG00000162433	ENST00000395334
AK5	ENSG00000154027	ENST00000354567
AK6	ENSG00000085231	ENST00000380822
AK7	ENSG00000140057	ENST00000267584
AK8	ENSG00000165695	ENST00000298545
AK9	ENSG00000155085	ENST00000424296
AKAP10	ENSG00000108599	ENST00000225737
AKAP11	ENSG00000023516	ENST00000025301
AKAP12	ENSG00000131016	ENST00000402676
AKAP13	ENSG00000170776	ENST00000361243
AKAP14	ENSG00000186471	ENST00000371431
AKAP17A	ENSG00000197976	ENST00000313871
AKAP2	ENSG00000241978	ENST00000434623
AKAP3	ENSG00000111254	ENST00000228850
AKAP4	ENSG00000147081	ENST00000358526
AKAP5	ENSG00000179841	ENST00000394718
AKAP6	ENSG00000151320	ENST00000280979
AKAP7	ENSG00000118507	ENST00000431975
AKAP8	ENSG00000105127	ENST00000269701
AKAP8L	ENSG00000011243	ENST00000397410
AKAP9	ENSG00000127914	ENST00000356239
AKIP1	ENSG00000166452	ENST00000309377
AKIRIN1	ENSG00000174574	ENST00000432648
AKIRIN2	ENSG00000135334	ENST00000257787
AKNA	ENSG00000106948	ENST00000307564
AKNAD1	ENSG00000162641	ENST00000370001
AKR1A1	ENSG00000117448	ENST00000372070
AKR1B1	ENSG00000085662	ENST00000285930
AKR1B10	ENSG00000198074	ENST00000359579
AKR1B15	ENSG00000227471	ENST00000457545
AKR1C1	ENSG00000187134	ENST00000380872
AKR1C2	ENSG00000151632	ENST00000380753
AKR1C3	ENSG00000196139	ENST00000380554
AKR1C4	ENSG00000198610	ENST00000380448
AKR1D1	ENSG00000122787	ENST00000242375
AKR1E2	ENSG00000165568	ENST00000298375
AKR7A2	ENSG00000053371	ENST00000235835
AKR7A3	ENSG00000162482	ENST00000361640
AKR7L	ENSG00000211454	ENST00000420396
AKT1	ENSG00000142208	ENST00000554581
AKT1S1	ENSG00000204673	ENST00000391835
AKT2	ENSG00000105221	ENST00000392038
AKT3	ENSG00000117020	ENST00000263826
AKTIP	ENSG00000166971	ENST00000300245
ALAD	ENSG00000148218	ENST00000409155
ALAS1	ENSG00000023330	ENST00000394965
ALAS2	ENSG00000158578	ENST00000330807
ALB	ENSG00000163631	ENST00000295897
ALCAM	ENSG00000170017	ENST00000306107
ALDH16A1	ENSG00000161618	ENST00000293350
ALDH18A1	ENSG00000059573	ENST00000371224
ALDH1A1	ENSG00000165092	ENST00000297785
ALDH1A2	ENSG00000128918	ENST00000249750
ALDH1A3	ENSG00000184254	ENST00000329841
ALDH1B1	ENSG00000137124	ENST00000377698
ALDH1L1	ENSG00000144908	ENST00000273450
ALDH1L2	ENSG00000136010	ENST00000258494
ALDH2	ENSG00000111275	ENST00000261733
ALDH3A1	ENSG00000108602	ENST00000457500
ALDH3A2	ENSG00000072210	ENST00000339618
ALDH3B1	ENSG00000006534	ENST00000342456
ALDH3B2	ENSG00000132746	ENST00000349015
ALDH4A1	ENSG00000159423	ENST00000375341
ALDH5A1	ENSG00000112294	ENST00000348925
ALDH6A1	ENSG00000119711	ENST00000553458
ALDH7A1	ENSG00000164904	ENST00000409134
ALDH8A1	ENSG00000118514	ENST00000265605
ALDH9A1	ENSG00000143149	ENST00000354775
ALDOA	ENSG00000149925	ENST00000395248
ALDOB	ENSG00000136872	ENST00000374855
ALDOC	ENSG00000109107	ENST00000226253
ALG1	ENSG00000033011	ENST00000262374
ALG10	ENSG00000139133	ENST00000266483
ALG10B	ENSG00000175548	ENST00000308742
ALG11	ENSG00000253710	ENST00000521508
ALG12	ENSG00000182858	ENST00000330817
ALG13	ENSG00000101901	ENST00000394780
ALG14	ENSG00000172339	ENST00000370205
ALG1L2	ENSG00000251287	ENST00000425059
ALG2	ENSG00000119523	ENST00000476832
ALG3	ENSG00000214160	ENST00000397676
ALG5	ENSG00000120697	ENST00000239891
ALG6	ENSG00000088035	ENST00000371108
ALG8	ENSG00000159063	ENST00000299626
ALK	ENSG00000171094	ENST00000389048
ALKBH1	ENSG00000100601	ENST00000216489
ALKBH2	ENSG00000189046	ENST00000429722
ALKBH3	ENSG00000166199	ENST00000302708
ALKBH4	ENSG00000160993	ENST00000292566
ALKBH5	ENSG00000091542	ENST00000399138
ALKBH6	ENSG00000239382	ENST00000378875
ALKBH7	ENSG00000125652	ENST00000245812
ALKBH8	ENSG00000137760	ENST00000417449
ALLC	ENSG00000151360	ENST00000252505
ALOX12	ENSG00000108839	ENST00000251535
ALOX12B	ENSG00000179477	ENST00000319144
ALOX15	ENSG00000161905	ENST00000570836
ALOX15B	ENSG00000179593	ENST00000380183
ALOX5	ENSG00000012779	ENST00000374391
ALOXE3	ENSG00000179148	ENST00000318227
ALPI	ENSG00000163295	ENST00000295463
ALPK1	ENSG00000073331	ENST00000458497
ALPK2	ENSG00000198796	ENST00000361673
ALPK3	ENSG00000136383	ENST00000258888
ALPL	ENSG00000162551	ENST00000374840
ALPP	ENSG00000163283	ENST00000392027
ALPPL2	ENSG00000163286	ENST00000295453
ALS2	ENSG00000003393	ENST00000264276
ALS2CL	ENSG00000178038	ENST00000318962
ALS2CR11	ENSG00000155754	ENST00000439140
ALS2CR12	ENSG00000155749	ENST00000405148
ALX1	ENSG00000180318	ENST00000316824
ALX3	ENSG00000156150	ENST00000369792
ALX4	ENSG00000052850	ENST00000329255
ALYREF	ENSG00000183684	ENST00000505490
AMACR	ENSG00000242110	ENST00000382085
AMBN	ENSG00000178522	ENST00000322937
AMBP	ENSG00000106927	ENST00000265132
AMBRA1	ENSG00000110497	ENST00000534300
AMD1	ENSG00000123505	ENST00000368885
AMDHD1	ENSG00000139344	ENST00000266736
AMDHD2	ENSG00000162066	ENST00000413459
AMELX	ENSG00000125363	ENST00000380712
AMELY	ENSG00000099721	ENST00000215479
AMER1	ENSG00000184675	ENST00000330258
AMER2	ENSG00000165566	ENST00000515384
AMER3	ENSG00000178171	ENST00000423981
AMFR	ENSG00000159461	ENST00000290649
AMH	ENSG00000104899	ENST00000221496
AMHR2	ENSG00000135409	ENST00000257863
